Date	Close
03.01.05	84.21
04.01.05	84.56
05.01.05	83.38
06.01.05	84.21
07.01.05	84.28
10.01.05	84.10
11.01.05	82.66
12.01.05	81.60
13.01.05	82.15
14.01.05	82.26
17.01.05	82.64
18.01.05	81.88
19.01.05	80.32
20.01.05	79.52
21.01.05	78.83
24.01.05	78.59
25.01.05	79.55
26.01.05	78.11
27.01.05	77.95
28.01.05	77.57
31.01.05	78.64
01.02.05	78.89
02.02.05	79.63
03.02.05	79.35
04.02.05	79.71
07.02.05	81.40
08.02.05	81.59
09.02.05	81.12
10.02.05	80.84
11.02.05	82.28
14.02.05	82.57
15.02.05	82.77
16.02.05	81.46
17.02.05	81.47
18.02.05	80.25
21.02.05	81.07
22.02.05	80.60
23.02.05	80.09
24.02.05	81.24
25.02.05	82.33
28.02.05	82.68
01.03.05	83.26
02.03.05	83.30
03.03.05	82.80
04.03.05	84.39
07.03.05	84.66
08.03.05	84.89
09.03.05	83.74
10.03.05	83.35
11.03.05	85.37
14.03.05	86.12
15.03.05	87.28
16.03.05	85.34
17.03.05	84.08
18.03.05	84.52
21.03.05	84.33
22.03.05	84.74
23.03.05	84.41
24.03.05	85.10
29.03.05	85.96
30.03.05	85.34
31.03.05	84.69
01.04.05	85.09
04.04.05	83.87
05.04.05	84.08
06.04.05	84.28
07.04.05	84.57
08.04.05	84.21
11.04.05	83.82
12.04.05	82.74
13.04.05	84.13
14.04.05	83.81
15.04.05	81.41
18.04.05	78.94
19.04.05	79.05
20.04.05	77.91
21.04.05	78.77
22.04.05	79.60
25.04.05	80.39
26.04.05	80.06
27.04.05	79.80
28.04.05	79.10
29.04.05	79.75
02.05.05	80.58
03.05.05	81.47
04.05.05	82.04
05.05.05	83.16
06.05.05	83.68
09.05.05	83.27
10.05.05	81.48
11.05.05	80.34
12.05.05	81.30
13.05.05	80.91
16.05.05	80.96
17.05.05	80.75
18.05.05	82.21
19.05.05	83.11
20.05.05	82.23
23.05.05	82.19
24.05.05	82.18
25.05.05	82.35
26.05.05	83.13
27.05.05	83.02
30.05.05	83.91
31.05.05	84.33
01.06.05	85.14
02.06.05	84.87
03.06.05	84.30
06.06.05	83.40
07.06.05	84.67
08.06.05	84.76
09.06.05	84.96
10.06.05	85.29
13.06.05	85.44
14.06.05	85.27
15.06.05	84.77
16.06.05	85.26
17.06.05	85.87
20.06.05	84.87
21.06.05	85.59
22.06.05	86.02
23.06.05	85.98
24.06.05	84.42
27.06.05	83.12
28.06.05	83.68
29.06.05	84.49
30.06.05	83.66
01.07.05	84.11
04.07.05	84.14
05.07.05	83.90
06.07.05	86.15
